,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,AGO,Angola,486716,479222,476059,476774,476265,475136,470028,470253,465770,467503,465749,29342.927970020526,28892.34778222281,28702.012364354297,28744.23963844513,28713.20508122774,28645.484536058302,28339.06335432075,28353.699851472196,28084.696329686507,28188.85855309799,28083.59836282996
1,ATG,Antigua and Barbuda,14818,13607,13573,13736,14489,14565,14903,15079,15229,15161,14977,859.9802962022014,789.7312154800146,787.7595617715311,797.2121296035266,840.9033577135613,845.3170721845802,864.9197724571743,875.1196415582936,883.8169229235286,879.8674496659246,869.184263893646
2,AUS,Australia,18316910,17869426,17569953,17566642,17445430,17261273,17146233,17203510,17302787,17350400,17244836,1065267.1217180905,1038786.0622132838,1021227.2415627039,1021046.540017941,1013912.890580523,1003128.9731605127,996416.9334823389,999714.7539328149,1005449.6507810089,1008223.5902294602,1002095.8006307528
3,BHS,Bahamas,3060125,2871940,2734037,2729330,2642867,2593615,2595828,2613935,2623171,2658777,2713696,169010.1770984773,158534.19560298987,150923.5303911759,150672.03371757132,145919.8634794973,143170.29003655145,143292.65213207586,144260.06677298513,144777.5567459458,146741.11637873732,149792.2083164368
4,BHR,Bahrain,1172,1565,1652,1680,1535,1084,1048,1056,1084,1070,1067,64.12273359929269,85.60954416843632,90.37600798074348,91.91014928424067,83.9745387742685,59.296980761655256,57.3250157662994,57.76487167639897,59.30067844284399,58.53326905711228,58.36400472416073
5,BGD,Bangladesh,7874065,7965158,7953953,7938035,7933182,7897706,7907192,7886033,7931504,7917399,7937600,444405.3384832307,449538.55086389283,448904.81383509224,448007.68383122375,447736.7009294788,445740.5519238431,446278.94697035325,445085.69364937785,447650.6586296473,446858.59943369194,448002.66982454935
6,BRB,Barbados,165,174,179,176,185,171,161,158,158,167,183,9.776483079044546,10.309763128548463,10.606032283698609,10.428277413477261,10.961541087980578,10.131996822179897,9.539466362155759,9.361708736761729,9.361706033590123,9.894976258037325,10.843024411802032
7,BLZ,Belize,939910,912976,898105,891403,884670,878922,875737,880104,892668,898277,894429,54572.62412836695,53008.82574491945,52145.30774085966,51756.84428124779,51366.22801098423,51032.57577298374,50847.30885277119,51100.43565281574,51831.02946880506,52158.3749972367,51935.04735274411
8,BEN,Benin,48498,37222,34860,38012,43639,47070,49130,48870,48728,48284,47445,2930.415809269414,2249.0908913668454,2106.380707872935,2296.8470599976467,2636.8543478357014,2844.1795843228365,2968.6427861078755,2952.936719738673,2944.338877373355,2917.507900104141,2866.8008824192552
9,BRA,Brazil,19067246,18873207,18802214,18801217,18724903,18632746,18718432,18873314,18920596,18913165,18900510,1147458.9083517038,1135743.8199466325,1131467.9074214112,1131357.5305087345,1126736.0269655904,1121168.24442971,1126389.42922211,1135793.3286901922,1138685.6899803334,1138328.0309656805,1137559.6069602212
